"ID","Description","DisGeNET_GeneRatio","DisGeNet_BgRatio","DisGeNet_pvalue","DisGeNet_p.adjust","DisGeNet_qvalue","ENTREZID","DisGeNEt_Count"
"C2267227","Bulimia Nervosa","4/95","71/21671",0.000268928977411082,0.0373850303402723,0.0327510842621316,"10810/79017/2166/3855",4
"C0079772","T-Cell Lymphoma","9/95","485/21671",0.000279813184420941,0.0373850303402723,0.0327510842621316,"613/115650/930/23205/2288/3662/23705/1958/9700",9
"C0149678","Epstein-Barr Virus Infections","8/95","384/21671",0.000287025184954106,0.0373850303402723,0.0327510842621316,"613/930/23205/3662/729230/6382/2239/1958",8
"C4048270","Decreased antibody level in blood","4/95","75/21671",0.000331946092244214,0.041177122395056,0.0360731392473912,"115650/930/60468/29851",4
"C0220597","Adult Hodgkin Lymphoma","8/95","399/21671",0.000370726019264121,0.0419887513123059,0.0367841652066185,"613/930/23205/2288/3662/6382/23705/1958",8
"C0220644","Childhood Hodgkin Lymphoma","8/95","399/21671",0.000370726019264121,0.0419887513123059,0.0367841652066185,"613/930/23205/2288/3662/6382/23705/1958",8
"C0151449","Primary SjC6gren's syndrome","7/95","312/21671",0.000448850188094071,0.0486241675356061,0.0425971088866326,"115650/930/23205/640/6382/2324/29851",7
"C0009763","Conjunctivitis","4/95","82/21671",0.00046664268268336,0.0486241675356061,0.0425971088866326,"115650/930/10804/29851",4
"C2347748","Adult Erythroleukemia","6/95","236/21671",0.000606668421023786,0.0593947943861857,0.0520326959204973,"613/930/3855/4291/2324/1958",6
"C4520840","Erythroleukemia (Erythroid/Myeloid)","6/95","237/21671",0.000620254888014767,0.0593947943861857,0.0520326959204973,"613/930/3855/4291/2324/1958",6
"C0002895","Anemia, Sickle Cell","8/95","434/21671",0.000644989764675292,0.0593947943861857,0.0520326959204973,"930/2288/729230/51327/112/2166/1958/29851",8
"C0333997","Lymphoid hyperplasia","3/95","39/21671",0.000665189762551875,0.0593947943861857,0.0520326959204973,"613/23205/29851",3
"C0677607","Hashimoto Disease","7/95","335/21671",0.000684009148401371,0.0593947943861857,0.0520326959204973,"4129/930/54549/60468/640/115350/29851",7
"C0398686","Primary immune deficiency disorder","4/95","93/21671",0.000750910766239651,0.0627638594034392,0.0549841588793439,"930/60468/2324/29851",4
"C0581354","Recurrent sinusitis","3/95","41/21671",0.000770995585762017,0.0627638594034392,0.0549841588793439,"115650/930/29851",3
"C0026948","Mycosis Fungoides","6/95","251/21671",0.000836452129843254,0.0660290241891417,0.05784460023924,"613/23205/2288/3662/23705/2324",6
"C1867873","Failure to thrive in infancy","4/95","97/21671",0.000879303001791401,0.0673701270490177,0.0590194708323145,"115650/930/4692/29851",4
"C0276496","Familial Alzheimer Disease (FAD)","6/95","260/21671",0.00100347201106345,0.0698739677654203,0.0612129556987296,"4129/322/5328/839/1511/4782",6
"C0024214","Lymphangiectasis","2/95","11/21671",0.00101927476970671,0.0698739677654203,0.0612129556987296,"414/2324",2
"C0563312","IgM monoclonal gammopathy of uncertain significance","2/95","11/21671",0.00101927476970671,0.0698739677654203,0.0612129556987296,"930/6382",2
"C3273254","Arterionephrosclerosis","2/95","11/21671",0.00101927476970671,0.0698739677654203,0.0612129556987296,"23705/4782",2
"C0278764","Adult Burkitt Lymphoma","8/95","475/21671",0.00115418851113249,0.0722082501381694,0.0632578993027786,"613/115650/930/3662/60468/729230/29802/6382",8
"C0278879","Childhood Burkitt Lymphoma","8/95","477/21671",0.00118548053171842,0.0722082501381694,0.0632578993027786,"613/115650/930/3662/60468/729230/29802/6382",8
"C0393574","Huntington Disease, Late Onset","2/95","12/21671",0.00121964030943549,0.0722082501381694,0.0632578993027786,"4129/2166",2
"C0751207","Akinetic-Rigid Variant of Huntington Disease","2/95","12/21671",0.00121964030943549,0.0722082501381694,0.0632578993027786,"4129/2166",2
"C0751208","Juvenile Huntington Disease","2/95","12/21671",0.00121964030943549,0.0722082501381694,0.0632578993027786,"4129/2166",2
"C1332214","Adult Primary Cutaneous Anaplastic Large Cell Lymphoma","2/95","12/21671",0.00121964030943549,0.0722082501381694,0.0632578993027786,"23205/3662",2
"C0021125","Impulsive Behavior","6/95","276/21671",0.00136254204686139,0.0780240321592887,0.0683528040090263,"4129/414/79017/6812/2166/3855",6
"C1392786","Cognitive changes","3/95","50/21671",0.0013777756158646,0.0780240321592887,0.0683528040090263,"10810/1071/6272",3
"C0233523","Antisocial behavior","3/95","51/21671",0.00145926449269219,0.0788507210661557,0.0690770232433279,"10810/5270/2324",3
"C0079774","Peripheral T-Cell Lymphoma","5/95","190/21671",0.00150515993605807,0.0788507210661557,0.0690770232433279,"2288/3662/7108/23705/1958",5
"C0494463","Alzheimer Disease, Late Onset","7/95","385/21671",0.00153071430776121,0.0788507210661557,0.0690770232433279,"4129/322/1071/729230/5328/1958/8038",7
"C0564567","Impulsive character (finding)","3/95","52/21671",0.00154371853142954,0.0788507210661557,0.0690770232433279,"4129/64077/3855",3
"C1855496","Contiguous gene syndrome","3/95","52/21671",0.00154371853142954,0.0788507210661557,0.0690770232433279,"4129/6812/10253",3
"C0334633","Malignant lymphoma - lymphoplasmacytic","3/95","53/21671",0.00163117696038438,0.0817156919577176,0.0715868755083672,"23205/3662/6382",3
"C0406500","Lipodermatosclerosis","2/95","14/21671",0.00167204878886407,0.082182775377187,0.0719960630438393,"5328/7108",2
"C0036095","Salivary Gland Neoplasms","4/95","116/21671",0.001705766949335,0.0822874611669941,0.0720877728295962,"57419/6382/3855/9700",4
"C1658953","tumor vasculature","5/95","200/21671",0.00188478031289573,0.0882542281386956,0.0773149476127658,"729230/5328/7108/59277/8038",5
"C1282609","Granulocytosis","2/95","15/21671",0.001923788494731,0.0882542281386956,0.0773149476127658,"613/5333",2
"C0747085","Recurrent otitis media","4/95","120/21671",0.00193109059650889,0.0882542281386956,0.0773149476127658,"115650/930/60468/29851",4
"C1332225","Aggressive Non-Hodgkin Lymphoma","3/95","57/21671",0.00201181581693436,0.0903582793640345,0.0791581976608654,"930/23205/9700",3
"C0023440","Acute Erythroblastic Leukemia","6/95","302/21671",0.00214607432073641,0.0936241830742643,0.0820192863541792,"613/930/3855/4291/2324/1958",6
"C0391861","Plasma cell inflammation","2/95","16/21671",0.00219235131191175,0.0936241830742643,0.0820192863541792,"930/6382",2
"C1846423","Thick upper lip vermilion","2/95","16/21671",0.00219235131191175,0.0936241830742643,0.0820192863541792,"2239/114034",2
"C0008354","Cholera","5/95","209/21671",0.00228256445745464,0.0959045227688605,0.0840169735782966,"3292/10810/1071/7108/112",5
"C0085702","Monocytosis","3/95","61/21671",0.00244349149087413,0.0994577395894862,0.0871297623719593,"613/729230/1958",3
"C3277226","Restrictive ventilatory defect","3/95","61/21671",0.00244349149087413,0.0994577395894862,0.0871297623719593,"115650/930/29851",3
"C0086132","Depressive Symptoms","7/95","421/21671",0.00253268384753599,0.101028457064947,0.0885057864094576,"4129/414/10810/2288/2166/3855/2324",7
"C0694550","Recurrent pneumonia","3/95","62/21671",0.00255964612909271,0.101028457064947,0.0885057864094576,"115650/930/29851",3
"C0003431","Antisocial Personality Disorder","3/95","63/21671",0.00267916157769748,0.104167401640328,0.0912556527957289,"4129/2166/2324",3
"C0221056","Adult type dermatomyositis","5/95","218/21671",0.00273832917111146,0.104902168981549,0.0918993443184155,"3662/729230/839/640/1511",5
"C1145670","Respiratory Failure","6/95","319/21671",0.0028171579041844,0.106357917976817,0.0931746504389288,"9215/930/11067/6382/7108/5423",6
"C0001339","Acute pancreatitis","7/95","435/21671",0.00303615243407786,0.112988244153898,0.0989831349936964,"930/729230/56288/7108/6641/1511/1958",7
"C1333171","Primary Cutaneous Follicle Center Lymphoma","2/95","19/21671",0.00309749132486854,0.11364739297581,0.0995605810573015,"613/3662",2
"C0003466","Anus, Imperforate","4/95","139/21671",0.00328678362051284,0.118768602790514,0.104047007111763,"9215/115650/930/29851",4
"C0034150","Purpura","3/95","68/21671",0.00332825643136566,0.118768602790514,0.104047007111763,"115650/930/29851",3
"C0013990","Pathological accumulation of air in tissues","3/95","69/21671",0.00346859166891314,0.118890543388404,0.104153832939109,"115650/930/29851",3
"C0020678","Hypotrichosis","3/95","69/21671",0.00346859166891314,0.118890543388404,0.104153832939109,"126695/10804/4047",3
"C1844383","Recurrent bacterial infection","3/95","69/21671",0.00346859166891314,0.118890543388404,0.104153832939109,"115650/930/29851",3
"C0004368","Autoimmune state","3/95","70/21671",0.0036125005083487,0.119791362015146,0.104942993372598,"115650/930/29851",3
"C0023443","Hairy Cell Leukemia","4/95","143/21671",0.00363773641734014,0.119791362015146,0.104942993372598,"613/115650/930/23205",4
"C0235031","Neurologic Symptoms","5/95","233/21671",0.00363948588770247,0.119791362015146,0.104942993372598,"414/10804/2166/4047/6272",5
"C4324336","Hyperleukocytosis","2/95","21/21671",0.00378232391356181,0.119791362015146,0.104942993372598,"613/930",2
"C0740392","Infarction, Middle Cerebral Artery","4/95","145/21671",0.00382240413228726,0.119791362015146,0.104942993372598,"3662/5328/839/1958",4
"C0017661","IGA Glomerulonephritis","7/95","456/21671",0.00393125922122443,0.119791362015146,0.104942993372598,"613/930/729230/5328/10253/640/59277",7
"C0024312","Lymphopenia","5/95","239/21671",0.00405354073153462,0.119791362015146,0.104942993372598,"115650/930/4291/124976/29851",5
"C0023524","Leukoencephalopathy, Progressive Multifocal","5/95","240/21671",0.00412569188387425,0.119791362015146,0.104942993372598,"613/322/5328/1511/1958",5
"C0342257","Complications of Diabetes Mellitus","5/95","240/21671",0.00412569188387425,0.119791362015146,0.104942993372598,"613/1071/7108/2324/1958",5
"C0038002","Splenomegaly","6/95","345/21671",0.00413314182499213,0.119791362015146,0.104942993372598,"613/115650/930/60468/2239/29851",6
"C0556280","Gross motor impairment","2/95","22/21671",0.00414872583604969,0.119791362015146,0.104942993372598,"9215/4692",2
"C1262020","Diffuse alveolar damage","2/95","22/21671",0.00414872583604969,0.119791362015146,0.104942993372598,"2288/6382",2
"C0279593","Adult B Acute Lymphoblastic Leukemia","3/95","74/21671",0.00422442476858291,0.119791362015146,0.104942993372598,"613/115650/930",3
"C3160814","Cannabis use","3/95","74/21671",0.00422442476858291,0.119791362015146,0.104942993372598,"2166/5792/11343",3
"C0333875","High-Grade Squamous Intraepithelial Lesions","4/95","150/21671",0.0043116794324146,0.119791362015146,0.104942993372598,"3824/729230/3855/23705",4
"C0036916","Sexually Transmitted Diseases","3/95","75/21671",0.00438661138009703,0.119791362015146,0.104942993372598,"64077/23705/9700",3
"C4721414","Mantle cell lymphoma","7/95","466/21671",0.00442219681732454,0.119791362015146,0.104942993372598,"613/930/23205/3662/60468/6382/115350",7
"C1868683","B-CELL MALIGNANCY, LOW-GRADE","6/95","350/21671",0.00443102087476106,0.119791362015146,0.104942993372598,"613/115650/930/6382/115350/29851",6
"C0036323","Schistosomiasis","4/95","152/21671",0.00451868902203985,0.119791362015146,0.104942993372598,"613/1071/5328/29851",4
"C0877017","Generalized tonic-clonic seizures with focal onset","2/95","23/21671",0.00453092652387487,0.119791362015146,0.104942993372598,"6812/3778",2
"C1955690","Extranodal marginal zone B-cell lymphoma","2/95","23/21671",0.00453092652387487,0.119791362015146,0.104942993372598,"930/3662",2
"C2609259","Symphysis Pubis Dysfunction","2/95","23/21671",0.00453092652387487,0.119791362015146,0.104942993372598,"414/3855",2
"C0086438","Hypogammaglobulinemia","3/95","76/21671",0.00455253160825315,0.119791362015146,0.104942993372598,"930/60468/29851",3
"C0079745","Lymphoma, Large-Cell, Follicular","4/95","153/21671",0.00462466347217037,0.120472483450038,0.105539688501741,"930/3662/729230/2324",4
"C0242339","Dyslipidemias","7/95","471/21671",0.00468444157492623,0.120821488145375,0.105845433396978,"91107/1071/6382/2166/11343/1511/6272",7
"C0936016","Testicular Feminization","2/95","24/21671",0.0049287833991681,0.124655152959543,0.109203908118512,"2288/729230",2
"C1301362","Primary Cutaneous Anaplastic Large Cell Lymphoma","2/95","24/21671",0.0049287833991681,0.124655152959543,0.109203908118512,"23205/3662",2
"C0027707","Nephritis, Interstitial","3/95","79/21671",0.00507293880986379,0.12706736153553,0.111317118823732,"6382/7108/1958",3
"C4703473","Atherosclerotic lesion","5/95","253/21671",0.00514921563198126,0.127749587822011,0.111914781855994,"1071/729230/7108/1958/6272",5
"C0034155","Purpura, Thrombotic Thrombocytopenic","3/95","80/21671",0.00525403566847937,0.128854752533239,0.112882959285609,"115650/930/2324",3
"C0175695","Sotos' syndrome","2/95","25/21671",0.00534215480752007,0.128854752533239,0.112882959285609,"414/4782",2
"C1858723","Poikiloderma with Neutropenia","2/95","25/21671",0.00534215480752007,0.128854752533239,0.112882959285609,"3778/2324",2
"C0752308","Hypoxia-Ischemia, Brain","3/95","81/21671",0.00543898459013957,0.129986741810216,0.113874636324699,"729230/5328/1958",3
"C2699541","Cytokine Measurement","3/95","82/21671",0.0056278077005493,0.133276718726645,0.116756814304219,"51334/57835/640",3
"C0030662","Gambling, Pathological","2/95","26/21671",0.0057709000127644,0.134224951189744,0.117587511538282,"4129/3855",2
"C2939186","Disturbance in mood","2/95","26/21671",0.0057709000127644,0.134224951189744,0.117587511538282,"2166/3855",2
"C0206754","Neuroendocrine Tumors","7/95","491/21671",0.00585267090259744,0.134922192046605,0.118198328056183,"6382/7108/3855/5792/23612/2324/6272",7
"C4554601","Amyloidosis cutis dyschromia","3/95","84/21671",0.00601716244807285,0.136110939349423,0.119239727855156,"1071/729230/6382",3
"C0566602","Primary sclerosing cholangitis","5/95","264/21671",0.00614632369057315,0.136110939349423,0.119239727855156,"729230/6382/4047/11343/29851",5
"C0029121","Oppositional Defiant Disorder","2/95","27/21671",0.00621487919178786,0.136110939349423,0.119239727855156,"4129/3855",2
"C4054726","Infant Leukemia","2/95","27/21671",0.00621487919178786,0.136110939349423,0.119239727855156,"613/930",2
"C0278721","Adult Lymphoblastic Lymphoma","3/95","85/21671",0.00621773580905233,0.136110939349423,0.119239727855156,"613/930/3855",3
"C0279525","Childhood Lymphoblastic Lymphoma","3/95","85/21671",0.00621773580905233,0.136110939349423,0.119239727855156,"613/930/3855",3
"C0035078","Kidney Failure","6/95","378/21671",0.00640088883365439,0.138221726250849,0.121088878679398,"729230/5328/839/6382/7108/1958",6
"C0042109","Urticaria","4/95","168/21671",0.00642027979898376,0.138221726250849,0.121088878679398,"10804/729230/839/29851",4
"C0238190","Inclusion Body Myositis (disorder)","3/95","87/21671",0.0066307750973817,0.140544726807538,0.123123938870085,"729230/6382/4291",3
"C3160761","Diabetic dyslipidaemia","2/95","28/21671",0.00667395342936771,0.140544726807538,0.123123938870085,"1071/6272",2
"C0028043","Nicotine Dependence","4/95","170/21671",0.00669003689985976,0.140544726807538,0.123123938870085,"322/414/2166/28232",4
"C0079748","Precursor cell lymphoblastic lymphoma","3/95","88/21671",0.00684327979475366,0.142613950922666,0.124936678694955,"613/930/3855",3
"C0349636","Pre B-cell acute lymphoblastic leukemia","3/95","90/21671",0.00728035261155305,0.150344054081752,0.131708620769467,"613/115650/930",3
"C0280449","secondary acute myeloid leukemia","3/95","91/21671",0.00750495663335979,0.150344054081752,0.131708620769467,"613/2324/9700",3
"C0175694","Smith-Lemli-Opitz Syndrome","2/95","30/21671",0.00763683592797068,0.150344054081752,0.131708620769467,"10804/3778",2
"C0340164","Lofgrens syndrome","2/95","30/21671",0.00763683592797068,0.150344054081752,0.131708620769467,"729230/115350",2
"C1527311","Brain Edema","2/95","30/21671",0.00763683592797068,0.150344054081752,0.131708620769467,"5328/5270",2
"C1848529","Hypoplasia of the pons","2/95","30/21671",0.00763683592797068,0.150344054081752,0.131708620769467,"9215/114034",2
"C4054188","Ph-Like Acute Lymphoblastic Leukemia","2/95","30/21671",0.00763683592797068,0.150344054081752,0.131708620769467,"613/930",2
"C0020550","Hyperthyroidism","5/95","279/21671",0.00771533211517999,0.150344054081752,0.131708620769467,"1071/60468/7108/1958/29851",5
"C0041349","Nephritis, Tubulointerstitial","3/95","92/21671",0.00773362888558722,0.150344054081752,0.131708620769467,"6382/7108/1958",3
"C0026850","Muscular Dystrophy","5/95","280/21671",0.00782895671154654,0.15106986839688,0.132344469010783,"9215/26509/10804/729230/6641",5
"C0043194","Wiskott-Aldrich Syndrome","3/95","95/21671",0.00844422062446798,0.161744078873082,0.141695590664447,"930/10810/29851",3
"C0013386","Dyskinesia, Drug-Induced","2/95","32/21671",0.00865845415011459,0.16463702964269,0.144229954648086,"9456/1958",2
"C0023448","Lymphoid leukemia","5/95","288/21671",0.00878026735139491,0.164746463631801,0.144325824084754,"613/930/60468/3855/1511",5
"C0271183","Severe myopia","4/95","184/21671",0.00879069422066038,0.164746463631801,0.144325824084754,"79017/3778/6641/1958",4
"C0740858","Substance abuse problem","4/95","185/21671",0.00895539287367587,0.166634274542326,0.145979637219017,"4129/2166/3855/9456",4
"C0276535","AIDS with Kaposi's sarcoma","2/95","33/21671",0.00919095137030284,0.16799194624282,0.147169022913197,"729230/2324",2
"C0521991","Symptoms of stress","2/95","33/21671",0.00919095137030284,0.16799194624282,0.147169022913197,"2166/3855",2
"C0035243","Respiratory Tract Infections","4/95","187/21671",0.00929081691324564,0.16799194624282,0.147169022913197,"930/5328/6382/29851",4
"C0279584","Childhood B Acute Lymphoblastic Leukemia","3/95","99/21671",0.00944959828815982,0.16799194624282,0.147169022913197,"613/115650/930",3
"C0008313","Cholangitis, Sclerosing","4/95","188/21671",0.00946156109988056,0.16799194624282,0.147169022913197,"60468/729230/5328/11343",4
"C0042384","Vasculitis","5/95","294/21671",0.00954433098877994,0.16799194624282,0.147169022913197,"115650/930/729230/640/29851",5
"C0002873","Anemia of chronic disease","3/95","100/21671",0.00971138293645906,0.16799194624282,0.147169022913197,"1071/729230/6382",3
"C1840379","Cerebellar vermis hypoplasia","3/95","100/21671",0.00971138293645906,0.16799194624282,0.147169022913197,"9215/6812/2239",3
"C0025323","Menorrhagia","2/95","34/21671",0.00973772893768363,0.16799194624282,0.147169022913197,"5328/2324",2
"C0149654","Conduct Disorder","2/95","34/21671",0.00973772893768363,0.16799194624282,0.147169022913197,"4129/414",2
"C0206182","Lymphomatoid Papulosis","2/95","34/21671",0.00973772893768363,0.16799194624282,0.147169022913197,"23205/3662",2
"C0006267","Bronchiectasis","4/95","190/21671",0.00980916018395484,0.168110936047384,0.147273263703699,"115650/930/60468/29851",4
"C0025289","Meningitis","4/95","191/21671",0.00998603338173666,0.16891959064561,0.147981684016439,"115650/930/23705/29851",4
"C2362324","Pediatric Obesity","4/95","191/21671",0.00998603338173666,0.16891959064561,0.147981684016439,"414/1071/2166/6272",4
"C0030201","Pain, Postoperative","3/95","102/21671",0.0102475748204687,0.172225370369813,0.150877706015458,"4129/2166/11343",3
"C0035126","Reperfusion Injury","5/95","300/21671",0.0103531117121518,0.172883692372791,0.151454427745918,"5328/839/5270/5423/1958",5
"C0008370","Cholestasis","6/95","420/21671",0.010455905455545,0.173488112813342,0.1519839291158,"4129/729230/3855/28232/1958/6272",6
"C0023817","Hyperlipoproteinemia Type I","2/95","36/21671",0.0108735951723917,0.178606244149681,0.156467658275182,"930/1071",2
"C0013170","Drug habituation","4/95","196/21671",0.0109014943646062,0.178606244149681,0.156467658275182,"414/3778/2166/11343",4
"C0018203","Chronic granulomatous disease","3/95","105/21671",0.0110836054325507,0.180454950948716,0.158087214327434,"115650/1943/3778",3
"C0155733","Atherosclerosis of aorta","2/95","37/21671",0.0114624210328514,0.185232653355137,0.162272711374457,"1071/6272",2
"C0542476","Forgetful","6/95","429/21671",0.0115192667345613,0.185232653355137,0.162272711374457,"4129/839/9456/23705/1958/6272",6
"C0036631","Seminoma","5/95","311/21671",0.0119559633638049,0.191075365415409,0.167391208089951,"2288/5328/10253/5423/1958",5
"C0019061","Hemolytic-Uremic Syndrome","3/95","110/21671",0.0125623905224615,0.19633797239812,0.172001504862764,"729230/7108/23705",3
"C1843108","Short palm","3/95","110/21671",0.0125623905224615,0.19633797239812,0.172001504862764,"613/4692/2239",3
"C0002020","Alexithymia","2/95","39/21671",0.0126812076631283,0.19633797239812,0.172001504862764,"414/3855",2
"C1739108","Latent Autoimmune Diabetes in Adults","2/95","39/21671",0.0126812076631283,0.19633797239812,0.172001504862764,"60468/729230",2
"C2675111","Abnormal eyelash morphology","2/95","39/21671",0.0126812076631283,0.19633797239812,0.172001504862764,"10804/5333",2
"C0011644","Scleroderma","5/95","316/21671",0.0127374730653675,0.19633797239812,0.172001504862764,"729230/5328/5270/3855/1958",5
"C0150055","Chronic pain","4/95","207/21671",0.0131021994554776,0.199346431252629,0.174637059483059,"2288/729230/839/2864",4
"C0006870","Cannabis Dependence","2/95","40/21671",0.0133109107578625,0.199346431252629,0.174637059483059,"2166/11343",2
"C0008060","child abuse behavior","2/95","40/21671",0.0133109107578625,0.199346431252629,0.174637059483059,"3855/2324",2
"C0178782","Orofacial Pain","2/95","40/21671",0.0133109107578625,0.199346431252629,0.174637059483059,"2166/11343",2
"C1336708","Testicular Germ Cell Tumor","4/95","208/21671",0.0133152702640912,0.199346431252629,0.174637059483059,"64077/29842/89927/3855",4
"C0376544","Hematopoietic Neoplasms","5/95","322/21671",0.013720210994256,0.20423514080021,0.178919804123591,"613/3662/60468/10253/1958",5
"C0016034","Breast Fibrocystic Disease","3/95","114/21671",0.0138229931892372,0.204596007147516,0.179235940396329,"3292/5423/8038",3
"C2103602","Autoimmune Primary Adrenal Insufficiency","2/95","41/21671",0.0139539833307907,0.205367946761072,0.179912196617034,"60468/729230",2
"C0024421","Macroglossia","3/95","115/21671",0.0141489903579602,0.205911284259699,0.180388186392576,"9215/10253/2239",3
"C1275685","Avellino corneal dystrophy","3/95","115/21671",0.0141489903579602,0.205911284259699,0.180388186392576,"1071/729230/6382",3
"C0021053","Immune System Diseases","6/95","451/21671",0.0144373989602781,0.208941246064025,0.183042578630894,"414/23205/60468/729230/6382/29851",6
"C0001768","Agammaglobulinemia","2/95","43/21671",0.0152797308169575,0.214612948231351,0.188011262457043,"613/930",2
"C0032302","Mycoplasma pneumonia","2/95","43/21671",0.0152797308169575,0.214612948231351,0.188011262457043,"115650/1958",2
"C0349637","Common acute lymphoblastic leukemia","2/95","43/21671",0.0152797308169575,0.214612948231351,0.188011262457043,"613/930",2
"C1387005","Penis agenesis","4/95","217/21671",0.0153328536634375,0.214612948231351,0.188011262457043,"9215/4692/6812/114034",4
"C0553723","Squamous cell carcinoma of skin","6/95","458/21671",0.0154652100737911,0.214612948231351,0.188011262457043,"3662/10804/56288/6382/3855/23705",6
"C0085281","Addictive Behavior","5/95","332/21671",0.0154697941281957,0.214612948231351,0.188011262457043,"4129/3662/2166/3855/9456",5
"C0280141","Acute Undifferentiated Leukemia","3/95","119/21671",0.0154965863316558,0.214612948231351,0.188011262457043,"613/3855/1511",3
"C0038586","Substance Use Disorders","4/95","218/21671",0.0155682653361912,0.214612948231351,0.188011262457043,"2166/3855/5792/11343",4
"C0858252","Breast adenocarcinoma","4/95","219/21671",0.0158059493128311,0.214612948231351,0.188011262457043,"23205/10810/23705/1958",4
"C1378511","Undifferentiated leukemia","3/95","120/21671",0.0158444195556339,0.214612948231351,0.188011262457043,"613/3855/1511",3
"C0023794","Lipoidosis","2/95","44/21671",0.0159621547623474,0.214612948231351,0.188011262457043,"11067/4047",2
"C0271737","Addison's disease due to autoimmunity","2/95","44/21671",0.0159621547623474,0.214612948231351,0.188011262457043,"60468/729230",2
"C1739395","Takotsubo Cardiomyopathy","2/95","44/21671",0.0159621547623474,0.214612948231351,0.188011262457043,"6812/6382",2
"C1850900","Familial primary gastric lymphoma","3/95","121/21671",0.0161966382101623,0.214612948231351,0.188011262457043,"115650/930/3662",3
"C1866934","Reduced tendon reflexes","3/95","121/21671",0.0161966382101623,0.214612948231351,0.188011262457043,"9215/10804/112",3
"C0026896","Myasthenia Gravis","5/95","336/21671",0.0162096101153727,0.214612948231351,0.188011262457043,"115650/930/3662/729230/29851",5
"C0024232","Lymphatic Metastasis","6/95","463/21671",0.016229846756843,0.214612948231351,0.188011262457043,"10810/5328/6382/23705/2324/1958",6
"C0162359","Christ-Siemens-Touraine syndrome","2/95","45/21671",0.0166574462407655,0.215883818194996,0.189124605655824,"126695/10804",2
"C1336745","Thymic Lymphoma","2/95","45/21671",0.0166574462407655,0.215883818194996,0.189124605655824,"613/1958",2
"C4049006","Selective immunoglobulin A deficiency","2/95","45/21671",0.0166574462407655,0.215883818194996,0.189124605655824,"930/6382",2
"C4721444","Burkitt Leukemia","2/95","45/21671",0.0166574462407655,0.215883818194996,0.189124605655824,"613/930",2
"C0021368","Inflammation","6/95","467/21671",0.0168601570273281,0.217429252753414,0.190478480642248,"115650/2288/5328/6382/1511/1958",6
"C1367654","Marginal Zone B-Cell Lymphoma","3/95","124/21671",0.0172796577479046,0.220668683695353,0.193316377917578,"930/3662/115350",3
"C0345905","Intrahepatic Cholangiocarcinoma","6/95","470/21671",0.0173438732392569,0.220668683695353,0.193316377917578,"729230/10253/6382/3855/9456/2324",6
